id_subsistema,ate,mmgd_mw,mmgd_fotovoltaica_mw,unidades
SE,2016-12,40.9,31.9,5181
SE,2017-12,126.7,100.1,12936
SE,2018-12,351.9,311.2,32270
SE,2019-12,1203.6,1137.0,99800
SE,2020-12,2830.8,2728.4,215832
SE,2021-12,5216.9,5082.9,441113
SE,2022-12,9298.6,9136.7,831370
SE,2023-12,13833.6,13656.9,1163393
SE,2024-12,19554.1,19370.1,1616496
SE,2025-12,24360.4,24169.6,2057261
SE,2026-08,26232.6,26041.6,2274202
S,2016-12,37.8,35.1,1796
S,2017-12,105.2,95.7,5643
S,2018-12,267.4,252.6,15999
S,2019-12,865.0,848.4,47499
S,2020-12,2037.1,2014.4,106385
S,2021-12,4142.6,4111.0,220478
S,2022-12,6908.5,6863.8,438127
S,2023-12,8713.4,8647.8,580554
S,2024-12,10563.5,10495.5,722929
S,2025-12,12298.6,12216.7,883953
S,2026-08,13219.4,13133.3,966797
NE,2016-12,15.8,10.7,851
NE,2017-12,37.3,27.2,2042
NE,2018-12,96.2,86.2,6076
NE,2019-12,294.8,281.4,21222
NE,2020-12,764.1,744.0,55448
NE,2021-12,1568.7,1548.6,138513
NE,2022-12,2969.5,2944.0,285237
NE,2023-12,4603.0,4577.4,441446
NE,2024-12,6709.5,6683.8,667776
NE,2025-12,8851.7,8819.5,892788
NE,2026-08,9930.4,9897.0,1007720
N,2016-12,2.2,2.2,201
N,2017-12,7.0,6.9,618
N,2018-12,24.7,24.6,2187
N,2019-12,105.3,104.2,8903
N,2020-12,302.7,300.6,24418
N,2021-12,664.2,661.1,55250
N,2022-12,1290.7,1287.6,107846
N,2023-12,2048.9,2045.8,170605
N,2024-12,2981.3,2978.1,258189
N,2025-12,3900.6,3896.4,337823
N,2026-08,4273.2,4269.0,374589
